,hscode,volume,eight_bits
2142,15119036000,6600,15119036
2143,15119036000,1600,15119036
2144,15119036000,6000,15119036
2145,15119036000,6000,15119036
2146,10063099001,40,10063099
2147,10063099010,700020,10063099
2148,10063099010,6300000,10063099
2149,10063040001,856,10063040
2150,15119036000,1500,15119036
2151,10063040001,3820,10063040
2152,10063040001,100,10063040
2153,10063040001,800,10063040
2154,10063030003,600,10063030
2155,10063030003,550,10063030
2156,10063099001,1850,10063099
2157,10063099001,1850,10063099
2158,10063091001,300000,10063091
2159,10063099012,150000,10063099
2160,10063099014,40,10063099
2161,10063099014,20,10063099
2162,10064090012,2500,10064090
2163,10063091001,25000,10063091
2164,10063040001,960,10063040
2165,10063040001,4800,10063040
2166,10063040001,6000,10063040
2167,10063099010,2400,10063099
2168,10063099010,1000,10063099
2169,10063040001,120,10063040
2170,10063040001,100,10063040
2171,10063099601,10400,10063099
2172,10063040001,750,10063040
2173,10063030003,250,10063030
2174,10063030003,166,10063030
2175,10063099601,5200,10063099
2176,10063099012,260000,10063099
2177,10063040001,2049,10063040
2178,10063040001,906,10063040
2179,15119036000,200,15119036
2180,15119036000,200,15119036
2181,15119036000,100,15119036
2182,15119036000,200,15119036
2183,15119036000,200,15119036
2184,15119036000,200,15119036
2185,15119036000,200,15119036
2186,15119036000,200,15119036
2187,15119036000,200,15119036
2188,15119036000,200,15119036
2189,15119036000,200,15119036
2190,15119036000,200,15119036
2191,15119036000,200,15119036
2192,10063099012,520000,10063099
2193,10063099012,260000,10063099
2194,10063099010,1800,10063099
2195,10062090613,1180,10062090
2196,10063099001,230,10063099
2197,10063030003,200,10063030
2198,10063099001,840,10063099
2199,10063099001,650,10063099
2200,10063099001,998,10063099
2201,10063030003,430,10063030
2202,10063030003,300,10063030
2203,10063040001,2020,10063040
2204,10063040001,8060,10063040
2205,10063040001,5000,10063040
2206,10063040001,550,10063040
2207,10051000000,78,10051000
2208,10051000000,10,10051000
2209,10063099014,25000,10063099
2210,15119020000,1500,15119020
2211,10063040001,200,10063040
2212,10064090003,100,10064090
2213,10064090003,100,10064090
2214,10064090010,400,10064090
2215,10064090010,400,10064090
2216,10062090612,1760,10062090
2217,10062090607,440,10062090
2218,10063099010,920,10063099
2219,10063040001,20960,10063040
2220,10063040001,21000,10063040
2221,10063040001,42000,10063040
2222,10063099001,1710,10063099
2223,10063040001,11000,10063040
2224,10063040001,6000,10063040
2225,10063040001,7000,10063040
2226,10063040001,5500,10063040
2227,10063040001,500,10063040
2228,10063099001,8000,10063099
2229,10063099001,1500,10063099
2230,10064090005,4000,10064090
2231,10063040001,300,10063040
2232,10063040001,50,10063040
2233,10063040001,150,10063040
2234,10062010001,400,10062010
2235,10062090601,300,10062090
2236,10063099001,50,10063099
2237,10063099014,1850,10063099
2238,10063099014,40,10063099
2239,10063091001,6000,10063091
2240,10063099012,4000,10063099
2241,10064090005,20000,10064090
2242,10063040001,20000,10063040
2243,10063040001,20000,10063040
2244,10063030003,4000,10063030
2245,10063099012,20000,10063099
2246,10063040001,18824,10063040
2247,10063099001,925,10063099
2248,10063099001,2250,10063099
2249,10064090602,5000,10064090
2250,10062090001,130,10062090
2251,10062090612,120,10062090
2252,10062090001,100,10062090
2253,10062090612,70,10062090
2254,10063099600,210,10063099
2255,10063099600,60,10063099
2256,10063030003,40,10063030
2257,10062090001,150,10062090
2258,10063099001,500,10063099
2259,10063099001,800,10063099
2260,10063099001,500,10063099
2261,10063030003,1500,10063030
2262,10064090005,700,10064090
2263,10063099001,1000,10063099
2264,10063099001,800,10063099
2265,10063099012,5200,10063099
2266,10063099012,39520,10063099
2267,10064090006,653,10064090
2268,10063099012,100,10063099
2269,10063040001,1020,10063040
2270,10063040001,220,10063040
2271,10063040001,793,10063040
2272,10063040001,220,10063040
2273,10064090005,440,10064090
2274,10064090005,220,10064090
2275,10063040001,1400,10063040
2276,10063030003,300,10063030
2277,10063030003,770,10063030
2278,10063040001,400,10063040
2279,10063040001,500,10063040
2280,10063040001,320,10063040
2281,10063040001,1075,10063040
2282,10063040001,1280,10063040
2283,10063040001,1430,10063040
2284,10063040001,1000,10063040
2285,10063040001,5330,10063040
2286,10063099001,3500,10063099
2287,10063091001,2100,10063091
