undefined,declaration_type,year_in_yy,month,running_no,item_no,origin_country_code,destination_country_code,transportation,tax_id,company_branch,customs_coordinates,product_statistic_code,product_statistic_code_unit,privilege_code,duty_rate_by_percent,duty_rate_by_condition,is_a_net_transaction_brought_back,use_the_rights_to_promote_investment,use_the_rights_bonded_warehouse,exercising_the_right_to_claim_duty_under_section_19_bis,use_the_right_reimport_reexport,use_the_right_freezone,use_the_right_epz,multiple_boat_declaration_approval_lists_or_claim_duty_compensation,import_or_export_date,payment_place_code,payment_number,payment_date,release_location_code,release_date,pickup_location_code,pickup_date,making_year,making_month,weigth,volume,value_in_baht,value_in_other_currency,currency_code,duty,vat,excise_tax,fee,ministry_of_commerce_fee,interior_tax,other_tax,excise_coordinate,excise_tax_by_percent,excise_tax_by_condition,import_or_export_customs_set,hscode
A001,1,63,01,00194,0001,PH,PH,1,    0105511005125,0000,000010063099,012,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200121,2801,000000,20200101,2836,20200104,2801,20200106,2563,01,00000000520000,00000000010400,0000000006319856,0000000000211120,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063099012
A001,1,63,01,00194,0002,PH,PH,1,    0105511005125,0000,000010063099,012,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200121,2801,000000,20200101,2836,20200104,2801,20200106,2563,01,00000000520000,00000000010400,0000000006319856,0000000000211120,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063099012
A002,1,63,01,00235,0001,AU,AU,1,    0105525038021,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200122,2801,000000,20200102,2836,20200102,2801,20200107,2563,01,00000000020000,00000000001000,0000000000676529,0000000000022600,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A002,1,63,01,00235,0002,AU,AU,1,    0105525038021,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200122,2801,000000,20200102,2836,20200102,2801,20200107,2563,01,00000000010000,00000000000500,0000000000338264,0000000000011300,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A002,1,63,01,00235,0003,AU,AU,1,    0105525038021,0000,000010063030,003,KGM,003,000000000000000000,000000000000000000,N,N,N,Y,N,N,N,N,20200122,2801,000000,20200102,2836,20200102,2801,20200107,2563,01,00000000010000,00000000000400,0000000000377180,0000000000012600,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063030003
A002,1,63,01,00268,0001,NL,NL,1,    0105507002443,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200113,2801,000000,20200102,2840,20200110,2801,20200114,2563,01,00000000024000,00000000024000,0000000000798903,0000000000026688,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A002,1,63,01,00269,0001,GB,GB,1,    0105507002443,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200108,0110,000000,20200102,0520,20200105,2801,20200109,2563,01,00000000004500,00000000004500,0000000000153566,0000000000005130,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A002,1,63,01,00269,0002,GB,GB,1,    0105507002443,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200108,0110,000000,20200102,0520,20200105,2801,20200109,2563,01,00000000022280,00000000022280,0000000000733645,0000000000024508,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A002,1,63,01,00269,0003,GB,GB,1,    0105507002443,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200108,0110,000000,20200102,0520,20200105,2801,20200109,2563,01,00000000022000,00000000022000,0000000000711253,0000000000023760,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A002,1,63,01,00278,0001,HK,HK,1,    0105534001223,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200122,0152,000000,20200102,0251,20200102,0250,20200108,2563,01,00000000022000,00000000000440,0000000000628274,0000000000020988,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
